question,a,b,c,d,answer,source,id
Adrenaline used for controlling of bleeding during surgery may result in:,Syncope,Cardiac arrhythmias,Drastic fall in blood pressure,Precipitation of allergic reaction,1,MEDMCQA,678
"The principal reason for placing an aluminium filter in
the primary beam of radiation is to:",Reduce exposure time,Decrease development time of the films,Reduce radiation to the skin of the patient,Obtain greater definition of the images of teeth,2,MEDMCQA,679
"An un-immunized 13 months old child comes to you in OPD, according to the latest immunizations schedule, what vaccines will you advise??","OPV 3 doses, I IPV 3 Pentavalent and I measles","BCG, OPV 3 doses, 3 lPV, 3 Pentavalent and I measles","OPV 3 doses, I IPV 3 Pentavalent and 2 measles","OPV 3 doses, 3 IPV 3 DPI : Hep-B",3,MEDMCQA,680
Centre of rotation during intrusion is at:,Infinity,Middle third of tooth,CEJ,Outside the tooth,3,MEDMCQA,681
Which of the following structure is not present on floor of third ventricle?,Optic stalk,Third nerve,Infundibulum,Mammillary body,1,MEDMCQA,682
Which of the following drug is contraindicated in pregnancy?,Enalapril,Amlodipine,b-blockers,Propylthiouracil,0,MEDMCQA,683
What is the codon for selenocysteine?,UAG,UGA,UAA,GUA,1,MEDMCQA,684
Which of the following is a primarily RNA based technique?,Next generation sequencing,PCR,Sanger's technique,Western blotting,1,MEDMCQA,685
"Drug binds to activate the receptor in same fashion, which directly or indirectly brings effect, is:",Inverse agonist,Antagonist,Agonist,Partial agonist,2,MEDMCQA,686
ICD-10 stands for,"International Classification of Drugs, 10th revision","International Classification of Disabilities, 10th revision","International Classification of Diseases, 10th revision","International Classification of Disasters, 10th revision",2,MEDMCQA,687
"Metformin causes I severe, sometimes life-threatening side effect of lactic acidosis. All of the following factors increase the risk of lactic acidosis except:",Advanced age,Smoking,Liver dysfunction,Renal failure,1,MEDMCQA,688
Midface is defined as the portion between:,Hairline to subnasale,Glabella to subnasale,Glabella to menton,Subnasale to menton,1,MEDMCQA,689
APGAR scores of 30 children are recorded in a hospital and most of the readings are found to be 7 or above. What can you make out about this data distribution?,Positively skewed data,Negatively skewed data,Normal distribution,Symmetrically skewed data,1,MEDMCQA,690
Which of the following muscle is not supplied by the nerve marked in the diagram?,Superior oblique,Medial rectus,Inferior rectus,Inferior oblique,0,MEDMCQA,691
"A patient presented with intermittent fever, no weight loss, no anorexia, but with a retroperitoneal mass. Peripheral smear findings were normal. Microscopy of the mass is given. What's the diagnosis?",NHL,Castleman disease,Angiolymphoid hyperplasia,Ig G4 disease,1,MEDMCQA,692
Cells with greatest affinity to bisphosphonates are:,Osteoprogenitor cells,Osteoblasts,Osteoclasts,Osteocytes,2,MEDMCQA,693
Death due to smoke inhalation is due to:,Hypoxemia,Anemic hypoxia,Ischemic hypoxia,All of the above,1,MEDMCQA,694
Renal agenesis is associated with:,Hydramnios,Anencephaly,Tracheo-oesophageal fistula,Oligohydramnios,3,MEDMCQA,695
Visual cortex is present in the:,Occipital lobe,Temporal lobe,Frontal lobe,Parietal lobe,0,MEDMCQA,696
Hypeensive hemorrhage is most commonly seen in:,Basal ganglia,Thalamus,Brain stem,Cerebrum,0,MEDMCQA,697
Receptors for olfactory sensation are present in:,Lateral walls,Nasal septum,Lateral wall and nasal septum above superior concha,None of the above,2,MEDMCQA,698
A 14 years old rape victim with 22 weeks of gestation coming to hospital. All of the following can be done except:,Male doctor can examine her with female attendant,Gynecologist can abo the fetus upon the patient request,No need to collect vaginal swab,UPT not required,1,MEDMCQA,699
All of the following are done to remove Confounding except,Randomization,Random Selection,Matching,Blinding,1,MEDMCQA,700
The advantage of metal base denture is:,Increase in tissue tolerance,Easy laboratory procedure,Rebasing and relining are quite easy,Increase in restorative cost,0,MEDMCQA,701
Which of the following is rare in children?,Herpangina,Dental cysts,Cherubism,Small pox,1,MEDMCQA,702
Major aim of phase 1 clinical trials is:-,Safety,Efficacy,Dose,Pharmacokinetics,2,MEDMCQA,703
Size of finishing diamond bur ranges from:,38-44micron.,20-30micron.,10-38 micron.,All of the above.,2,MEDMCQA,704
Mark true or false among the following:Content 's of Carotid Sheath areA. Internal jugular veini) trueii) falseB. Cervical sympathetic trunki) trueii) falseC. Vagus nervei) trueii) falseD. Internal carotid aeryi) trueii) falseE. Deep cervical lymph nodesi) trueii) false,A. ii) B. ii) C. i) D. i) E. i),A. i) B. ii) C. ii) D. i) E. i),A. i) B. ii) C. i) D. i) E. ii),A. i) B. ii) C. i) D. i) E. i),3,MEDMCQA,705
Hepcidin inhibits which of the following?,Hepheastin,DMT-1,Cerruloplasmin,Ferropoin,3,MEDMCQA,706
Example of excavator are all except:,Hoe,Ordinary hatchet,Enamel hatchet,Angle former,2,MEDMCQA,707
Which of the following marked arrow represent lateral semicircular canal during coical mastoidectomy:,A,B,C,D,2,MEDMCQA,708
Which is the most numerous component of plaque?,Minerals,Food debris,Microorganisms,Leucocytes,2,MEDMCQA,709
A diffuse spreading inflammatory lesion is due to bacterial enzyme,Coagulase,Hyaluronidase,Peroxidase,Bradykinin,1,MEDMCQA,710
What is the Ilekt step in management of a 32 years old woman with a 5 years history of primary infeil-ity with bilateral tubal block seen at cornu on hys-terosalpingogram?,In vitro feilization,Laparoscopy and hysteroscopy,Intracytoplasmic sperm injection,Tuboplasty,1,MEDMCQA,711
Which is a gypsum product?,Stone,Plaster,Investment,All of the above,3,MEDMCQA,712
An asymptomatic tooth has deep caries on occlusal surface. Radiograph shows radiopaque mass at apex of the tooth; this mass is most likely to be:,Cementoma,Condensing osteitis,Chronic apical periodontitis,Acute apical periodontitis,1,MEDMCQA,713
Skeletal muscles,Contracts when calcium is taken up by sarcoplasmic reticulum,Contracts when actin and myosin filaments shorten,Contraction is initiated by calcium binding to troponin,Contraction is initiated by calcium binding to tropomyosin,2,MEDMCQA,714
"""Strawberry Tongue"" is  associated with",syphilis,measles,scarlet fever,typhoid,2,MEDMCQA,715
Hydrocephalus is best detected antenately by:,X-ray abdomen,Amniocentesis,Clinical examination,Ultrasonography,3,MEDMCQA,716
"Extremely axle insecticide according to WHO classification, are coded as:",Red,Green,Yellow,Blue,0,MEDMCQA,717
A male child with Fanconi syndrome with nephrocalcinosis has a variant of dent disease. All are true except :,Hypercalciuria,Proteinuria,Similar presentation in father,Rickets,2,MEDMCQA,718
Bond found in GIC is:,Covalent bond,Ionic bond,Hydrogen bond,Metallic bond,1,MEDMCQA,719
"In a patient with post-tuberculosis bronchiectasis, which of the following will you observe on auscultation?",Late inspiratory crackles,Bibasilar crepts,Both early and late inspiratory crackles,Tubular breath sounds,2,MEDMCQA,720
Incorporation of peripheral seal in an impression is necessary to obtain;,Stability,Functionally moulded periphery,Harmonious occlusion,Posterior palatal seal,1,MEDMCQA,721
Which of the following techniques is based on RNA?,PCR,Sanger's technique,Next generation sequencing,Western blot,0,MEDMCQA,722
All are features of benign intracranial hypeension except:,Proptosis,Normal size ventricles,Headache,Papilledema,0,MEDMCQA,723
Nitrous oxide alone is not used as a G.A agent because of,Difficulty in maintaining an adequate oxygen concentration,Expense of the agent and its exposure hazards,Adverse effect on liver,Poor analgesic property,0,MEDMCQA,724
"According to WHO guidelines, latent TB should be ruled out in all the following situations except:",Before treatment with TN F-alpha inhibitors,Chronic alcoholics,Silicosis,Hemodialysis,1,MEDMCQA,725
Indications for caesarean section in pregnancy are all except:,Eisenmenger's syndrome,Aortic stenosis,MR,Aortic regurgitation,0,MEDMCQA,726
Digoxin is obtained from a plant product and has a half-life of 36 hours. How does this information help us in formulating treatment?,To adjust maintenance dose of digoxin required to keep the blood levels within therapeutic range,Intravenous administration in emergency and urgent dosing,Long half-life permits altemate day dosing,It requires a high loading dose to be administered,0,MEDMCQA,727
Which of these is the best study to evaluate effect and outcome?,Clinical trial,Coho,Case control study,Cross sectional study,0,MEDMCQA,728
"A male child presented with coarse facies, protuberant abdomen , frontal head enlargement, thickening of cardiac valve, hepatosplenomegaly, hearing impairement. What is the most probable diagnosis?",Hurler's disease,Hunter's disease,Fragile X syndrome,Tay Sach's disease,1,MEDMCQA,729
"Patient's lab value of Na+ 137, K+4, Urea 54, Bicarbonate 15, Phosphate 3, Chloride 110, Calcium 10. Calculate the Anion gap?",12,16,10,8,0,MEDMCQA,730
First local anaesthesia to be used clinically was,Cocaine,Bupivacaine,Procane,Lignocaine,0,MEDMCQA,731
A child is admitted on 7 days of life with severe respiratory distress and shock. He was discharged 2 days back healthy. What could be the probable diagnosis –,VSD large,Hypoplastic left heart syndrome,Ebstein anomaly,AP window defect,1,MEDMCQA,732
Most commonly implicated drug for acute liver failure is -,Paracetamol,Valproate,Warfarin,Tetracyclines,0,MEDMCQA,733
"With respect to peripheral vascular disease, all of the following statements are true except:",Ankle brachial index < 0.5 indicates critical limb ischemia,The ankle-brachial index is different at rest than that during exercise,L-arginine is useful for providing endothelium-independent vasorelaxation,Smoking has a greater association with peripheral vascular disease than coronary vascular disease,3,MEDMCQA,734
Localization of the receptor of a hormone Xis found to be in the nucleus. What is likely to be X?,Adrenaline,Insulin,Thyroxine,FSH,2,MEDMCQA,735
Normal WBC count,"4,000-11,000",40000 -80000,13000-17000,1000-3000,0,MEDMCQA,736
The treatment of choice for stage-I cancer larynx is:,Radical surgery,Chemotherapy,Radiotherapy,Surgery followed by radiotherapy,2,MEDMCQA,737
Amount of heat that is required to change boiling water into vapor is referred to as,Latent Heat of vaporization,Latent Heat of sublimation,Latent Heat of condensation,Latent heat of fusion,0,MEDMCQA,738
What will be the oxygen carrying capacity of an 18-year-old patient with a hemoglobin of 14 g/dL?,7,14,18,28,2,MEDMCQA,739
Deepest layer of deep cervical fascia is,Prevertebral,Carotid sheath,Pretracheal,Temporal,0,MEDMCQA,740
Pulmonary manifestation for inhalational anthrax,Hemorrhagic mediastinitis,Lobar consolidation,Bronchopneumonia with type two respiratory failure,Can cause pneumonia,0,MEDMCQA,741
Expected surgical procedure most frequently indicated for odontogenic cysts is:,Incision and drainage,Sclerosing solution,Marsupialisation,Enucleation,3,MEDMCQA,742
Lead cause following except,Uroporphyrinuria,Sideroblastic anemia,Basophilic stippling,Macrocytic anemia,3,MEDMCQA,743
Most accurate method of determination of working length in a tooth with open apex:,Moisture on paperpoint,Electronic apex locator,Other digital method,Both 1 and 2,0,MEDMCQA,744
The periodontal ligament,Derives its blood supply primarily from the branches of vessels entering the pulp,Has a slow rate of turnover,Contains epithelial cells of malassez,Comprises primarily of type 2 collagen,2,MEDMCQA,745
If multiple firing is done to opaque layer of dental porcelain than It become,Too Smooth,Too glazed,Become more opaque,Crack,1,MEDMCQA,746
A patient presents with focal alopecia areata. All of the following are associations of alopecia areata except:,Nail pitting,Atopy,Geographic tongue,Exclamatory mark,2,MEDMCQA,747
Which of the following Glomerulonephritis has Nephrotic syndrome except -,FSGS,Post-infectious Glomerulonephritis,MPGN,Minimal Change Disease,1,MEDMCQA,748
Non-pulsatile dose of GnRH agonist is used in all the following conditions except-,Endometriosis,infeility,Precocious pubey,Prostate cancer,1,MEDMCQA,749
Gene for Dentin mineralization,MAP1B,PHEX,DEN,PHIX,1,MEDMCQA,750
Which of the following leads to an increase in enzyme activity -,Increase in temperature,Decrease in activation energy,Extremes of pH value,Low substrate concentration,1,MEDMCQA,751
The contractile element in a skeletal muscle is present in:,Sarcolemma,Sarcoplasm,Myofibril,Endomysium,2,MEDMCQA,752
Which of the following is the least important prognostic factor in congenital diaphragmatic hernia ?,Pulmonary Hypertension,Delay in emergent surgery,Size of defect,Gestational age at diagnosis,1,MEDMCQA,753
